id,cmc_rank,id,name,symbol,slug,market_cap,volume_24h,date_added
57,58,1765,EOS,EOS,eos,667795047.400039,95804145.73161866,2017-07-01T00:00:00.000Z
58,59,2416,Theta Network,THETA,theta-network,661330956.4645576,14259625.76327023,2018-01-17T00:00:00.000Z
59,60,1966,Decentraland,MANA,decentraland,660948394.9765943,86755654.46060055,2017-09-17T00:00:00.000Z
60,61,11092,Bitget Token,BGB,bitget-token-new,646977373.5019655,18011475.13986973,2021-07-29T00:00:00.000Z
61,62,1376,Neo,NEO,neo,639720596.2335728,134600183.90543687,2016-09-08T00:00:00.000Z
62,63,3513,Fantom,FTM,fantom,634922442.3240376,56763667.90416206,2018-10-29T00:00:00.000Z
63,64,2586,Synthetix,SNX,synthetix,630851168.8442142,43496982.9830898,2018-03-14T00:00:00.000Z
64,65,8646,Mina,MINA,mina,625227682.079735,86225472.11133493,2021-03-02T00:00:00.000Z
65,66,4846,Kava,KAVA,kava,556437145.0495957,15878638.49278856,2019-10-25T00:00:00.000Z
66,67,4558,Flow,FLOW,flow,551891394.6066173,86407150.30805895,2021-01-27T00:00:00.000Z
67,68,10791,eCash,XEC,ecash,535950396.508352,10763587.24860962,2021-07-08T00:00:00.000Z
68,69,7334,Conflux,CFX,conflux-network,530453606.594932,90144390.42198111,2020-11-11T00:00:00.000Z
69,70,24478,Pepe,PEPE,pepe,507259953.73285097,365723051.4312859,2023-04-17T06:18:08.000Z
70,71,4066,Chiliz,CHZ,chiliz,490262304.19155157,92057862.75447188,2019-07-01T00:00:00.000Z
71,72,5176,Tether Gold,XAUt,tether-gold,489552003.88996726,6058918.44268026,2020-02-07T00:00:00.000Z
72,73,18876,ApeCoin,APE,apecoin-ape,486707989.4891051,49911135.94453599,2022-03-17T12:26:36.000Z
73,74,4705,PAX Gold,PAXG,pax-gold,483635590.6129253,5971235.57521552,2019-09-26T00:00:00.000Z
74,75,3330,Pax Dollar,USDP,paxos-standard,482200883.27157676,927600.6763759,2018-09-27T00:00:00.000Z
75,76,2943,Rocket Pool,RPL,rocket-pool,480824330.532277,4181098.11095485,2018-07-17T00:00:00.000Z
76,77,1720,IOTA,IOTA,iota,457042090.1813988,10246997.52954169,2017-06-13T00:00:00.000Z
77,78,7080,Gala,GALA,gala,454830157.67950296,182105312.7554621,2020-09-16T00:00:00.000Z
78,79,1437,Zcash,ZEC,zcash,449379630.2548179,44552794.46796778,2016-10-29T00:00:00.000Z
79,80,2087,KuCoin Token,KCS,kucoin-token,443690637.1892298,923993.54904762,2017-10-24T00:00:00.000Z
80,81,5964,Trust Wallet Token,TWT,trust-wallet-token,437138447.89846784,11986615.75057659,2020-07-30T00:00:00.000Z
81,82,6953,Frax Share,FXS,frax-share,436930675.272712,24473678.57184447,2020-09-08T00:00:00.000Z
82,83,11156,dYdX,DYDX,dydx,432840630.335106,110980978.05937812,2021-08-03T00:00:00.000Z
83,84,4256,Klaytn,KLAY,klaytn,428675699.50769883,11819714.49240953,2020-03-30T00:00:00.000Z
84,85,6538,Curve DAO Token,CRV,curve-dao-token,418987124.6662956,50632088.19949718,2020-08-14T00:00:00.000Z
85,86,11857,GMX,GMX,gmx,400214597.8256196,21058682.46991765,2021-09-13T12:11:50.000Z
86,87,20947,Sui,SUI,sui,385984602.55576056,117449493.44618708,2022-07-12T08:03:11.000Z
87,88,2502,Huobi Token,HT,htx-token,382965251.4097239,16900212.10980506,2018-02-03T00:00:00.000Z
88,89,16086,BitTorrent(New),BTT,bittorrent-new,380189446.96899927,15136443.53407572,2019-01-31T00:00:00.000Z
89,90,5899,Casper,CSPR,casper,372736135.85125124,5229875.16604441,2020-07-21T00:00:00.000Z
90,91,4172,Terra Classic,LUNC,terra-luna,369033188.1084033,25913507.32871455,2019-07-26T00:00:00.000Z
91,92,7501,WOO Network,WOO,wootrade,364038906.2229151,10770264.1939493,2020-10-23T00:00:00.000Z
92,93,4269,GateToken,GT,gatetoken,363748509.7803654,1527501.84427153,2019-08-20T00:00:00.000Z
93,94,5692,Compound,COMP,compound,359974315.4567646,45053585.27670113,2020-06-16T00:00:00.000Z
94,95,10804,FLOKI,FLOKI,floki-inu,355496057.6170462,347058373.11005753,2021-07-09T00:00:00.000Z
95,96,2694,Nexo,NEXO,nexo,344043768.5907278,1391857.56237995,2018-05-01T00:00:00.000Z
96,97,7653,Oasis Network,ROSE,oasis-network,339610787.38059556,15731634.71045127,2020-11-12T00:00:00.000Z
97,98,9816,APENFT,NFT,apenft,330012179.86281353,13854819.94377716,2021-05-14T00:00:00.000Z
98,99,131,Dash,DASH,dash,321074251.9889401,43296194.8844497,2014-02-14T00:00:00.000Z
99,100,2469,Zilliqa,ZIL,zilliqa,319926270.5272631,18796771.60929358,2018-01-25T00:00:00.000Z
100,101,5632,Arweave,AR,arweave,304669889.57538503,7504993.0075512,2020-05-27T00:00:00.000Z
101,102,1697,Basic Attention Token,BAT,basic-attention-token,299957606.29212904,23202678.06231419,2017-06-01T00:00:00.000Z
102,103,8104,1inch Network,1INCH,1inch,299688936.9524512,20714633.11018505,2020-12-25T00:00:00.000Z
103,104,8119,SafePal,SFP,safepal,297349243.577939,4491482.08714781,2020-12-28T00:00:00.000Z
104,105,7186,PancakeSwap,CAKE,pancakeswap,285511968.8332911,19991431.52683241,2020-09-25T00:00:00.000Z
105,106,1684,Qtum,QTUM,qtum,274648025.6093709,47759875.76088694,2017-05-24T00:00:00.000Z
106,107,4944,Tellor,TRB,tellor,271453850.3814534,97451387.72181797,2019-11-19T00:00:00.000Z
107,108,4041,MX TOKEN,MX,mx-token,270874198.8095994,2582723.73181527,2019-09-24T00:00:00.000Z
108,109,1659,Gnosis,GNO,gnosis-gno,268231970.9901519,5346942.93140176,2017-05-01T00:00:00.000Z
109,110,12885,Astar,ASTR,astar,267779294.9400647,11031673.85954532,2021-10-19T09:53:03.000Z
110,111,2424,SingularityNET,AGIX,singularitynet,265268945.97954497,41477796.58734846,2018-01-18T00:00:00.000Z
111,112,7950,Flare,FLR,flare,263288617.01302552,11148113.61504242,2020-12-11T00:00:00.000Z
112,113,2130,Enjin Coin,ENJ,enjin-coin,260882267.663137,25427309.66387579,2017-11-01T00:00:00.000Z
113,114,5488,JUST,JST,just,256233230.29225513,76387074.94345005,2020-05-07T00:00:00.000Z
114,115,873,NEM,XEM,nem,255935477.97381493,3927579.05642215,2015-04-01T00:00:00.000Z
115,116,1934,Loopring,LRC,loopring,255662750.7274359,16486738.11641674,2017-08-30T00:00:00.000Z
116,117,2083,Bitcoin Gold,BTG,bitcoin-gold,252969860.0415721,4088813.35035525,2017-10-23T00:00:00.000Z
117,118,20314,Terra,LUNA,terra-luna-v2,251196630.5820503,35442414.97286388,2022-05-26T12:47:26.000Z
118,119,3773,Fetch.ai,FET,fetch,249186006.62549567,62543567.36966731,2019-03-02T00:00:00.000Z
119,120,2299,aelf,ELF,aelf,246628258.7516128,9510479.82790467,2017-12-21T00:00:00.000Z
120,121,8536,Mask Network,MASK,mask-network,245421253.71916157,110968504.923525,2021-02-21T00:00:00.000Z
121,122,5567,Celo,CELO,celo,242472042.4306534,8946215.11950348,2020-05-22T00:00:00.000Z
122,123,23121,Blur,BLUR,blur-token,241619777.5351082,56758719.71496602,2023-02-13T15:07:24.000Z
123,124,3822,Theta Fuel,TFUEL,theta-fuel,234162782.85173714,4122968.95490023,2019-03-28T00:00:00.000Z
124,125,13855,Ethereum Name Service,ENS,ethereum-name-service,229164782.62677416,12369314.41479679,2021-11-09T01:31:29.000Z
125,126,2682,Holo,HOT,holo,228583940.4918061,10584489.2348602,2018-04-29T00:00:00.000Z
126,127,9903,Convex Finance,CVX,convex-finance,226117945.79458186,7212150.1677286,2021-05-18T00:00:00.000Z
127,128,9258,Chia,XCH,chia-network,222251081.38357475,27363162.04395815,2021-04-16T00:00:00.000Z
128,129,5665,Helium,HNT,helium,219916831.8704284,1368379.0040576,2020-06-05T00:00:00.000Z
129,130,3783,Ankr,ANKR,ankr,219277448.12274355,16321098.00166707,2019-03-06T00:00:00.000Z
130,131,4679,Band Protocol,BAND,band-protocol,218959949.48116773,11292923.59178149,2019-09-18T00:00:00.000Z
131,132,18069,STEPN,GMT,green-metaverse-token,213162109.09657282,26221877.29384432,2022-03-09T12:47:15.000Z
132,133,2777,IoTeX,IOTX,iotex,209370974.05679873,14236034.75389571,2018-05-25T00:00:00.000Z
133,134,1455,Golem,GLM,golem-network-tokens,209180485.30499828,5783252.45529882,2016-11-18T00:00:00.000Z
134,135,7431,Akash Network,AKT,akash-network,208101308.64834332,2970219.51756534,2020-10-16T00:00:00.000Z
135,136,17751,Threshold,T,threshold,207435937.7290439,12771794.29232666,2022-01-31T08:26:28.000Z
136,137,13502,Worldcoin,WLD,worldcoin-org,204624022.91515604,91992592.33276115,2021-10-28T15:31:43.000Z
137,138,2577,Ravencoin,RVN,ravencoin,203666829.02036643,7252357.49274967,2018-03-10T00:00:00.000Z
138,139,1168,Decred,DCR,decred,203167843.75347343,3007073.06971969,2016-02-10T00:00:00.000Z
139,140,1896,0x Protocol,ZRX,0x,201393383.99328074,17233413.74056522,2017-08-16T00:00:00.000Z
140,141,2099,ICON,ICX,icon,201173674.84610206,7263824.07322344,2017-10-27T00:00:00.000Z
141,142,2300,WAX,WAXP,wax,197634641.6490592,152016038.33117256,2017-12-21T00:00:00.000Z
142,143,1274,Waves,WAVES,waves,197228245.11988702,58583774.45558885,2016-06-02T00:00:00.000Z
143,144,23149,Sei,SEI,sei,193596120.2815959,39599251.15879974,2023-08-14T07:35:00.000Z
144,145,1680,Aragon,ANT,aragon,192905830.67195687,13435012.3242705,2017-05-18T00:00:00.000Z
145,146,3911,Ocean Protocol,OCEAN,ocean-protocol,191458693.66598144,20086529.82146894,2019-05-06T00:00:00.000Z
146,147,5864,yearn.finance,YFI,yearn-finance,190957492.6490337,37217590.7651832,2020-07-18T00:00:00.000Z
147,148,8719,Illuvium,ILV,illuvium,185747433.69095665,15843066.07384962,2021-03-08T00:00:00.000Z
148,149,3640,Livepeer,LPT,livepeer,183726786.59863934,30078388.18018026,2018-12-19T00:00:00.000Z
149,150,1042,Siacoin,SC,siacoin,183206196.1754093,9089310.4712938,2015-08-26T00:00:00.000Z
150,151,8425,JasmyCoin,JASMY,jasmy,181063603.90956652,31678871.15913467,2021-02-11T00:00:00.000Z
151,152,5728,Balancer,BAL,balancer,180770120.71783814,5339601.02770765,2020-06-24T00:00:00.000Z
152,153,7455,Audius,AUDIO,audius,179584432.53808442,4869618.1533581,2020-10-20T00:00:00.000Z
153,154,11865,Bone ShibaSwap,BONE,bone-shibaswap,178939137.79577148,6460990.41771084,2021-09-13T19:17:01.000Z
154,155,2570,TomoChain,TOMO,tomochain,178011097.33267042,28981000.15654778,2018-03-08T00:00:00.000Z
155,156,4279,Solar,SXP,sxp,174030663.2674189,17807611.21656116,2019-08-26T00:00:00.000Z
156,157,20362,Polymesh,POLYX,polymesh,170961928.15184563,233071657.35972062,2022-05-30T12:38:57.000Z
157,158,2566,Ontology,ONT,ontology,169342560.03480643,10923389.85999303,2018-03-08T00:00:00.000Z
158,159,5034,Kusama,KSM,kusama,163983049.02057803,17648747.17217071,2019-12-12T00:00:00.000Z
159,160,5370,Hive,HIVE,hive-blockchain,163749323.33877197,3202072.29057971,2020-03-26T00:00:00.000Z
160,161,3306,Gemini Dollar,GUSD,gemini-dollar,162016327.90212008,519616.17956416,2018-10-05T00:00:00.000Z
161,162,7429,Liquity,LQTY,liquity,161580524.27655056,73682004.72062592,2020-10-16T00:00:00.000Z
162,163,13523,Merit Circle,MC,merit-circle,157560440.7537328,8848711.99186964,2021-10-29T04:07:32.000Z
163,164,9543,Biconomy,BICO,biconomy,157517979.10294124,5553531.4973603,2021-12-01T10:12:17.000Z
164,165,6836,Moonbeam,GLMR,moonbeam,154501439.6111382,9307292.54826433,2022-01-11T12:55:50.000Z
165,166,3945,Harmony,ONE,harmony,152476976.56653357,14514294.09489702,2019-06-01T00:00:00.000Z
166,167,2405,IOST,IOST,iostoken,148732741.187338,5370769.87358485,2018-01-16T00:00:00.000Z
167,168,1772,Storj,STORJ,storj,148246987.70769915,29765465.80521711,2017-07-02T00:00:00.000Z
168,169,21296,EthereumPoW,ETHW,ethereum-pow,146628801.45824236,4835512.69664659,2022-08-08T05:19:50.000Z
169,170,14783,MAGIC,MAGIC,magic-token,144782369.59667206,73562370.94232011,2021-11-18T11:20:24.000Z
170,171,12999,ssv.network,SSV,ssv-network,142526929.62717003,8131061.67409907,2021-10-22T05:12:07.000Z
171,172,6758,SushiSwap,SUSHI,sushiswap,142438443.28970584,16764152.5472703,2020-08-28T00:00:00.000Z
172,173,17799,Axelar,AXL,axelar,141893891.28686708,27019713.08101448,2022-02-02T02:48:14.000Z
173,174,2588,Loom Network,LOOM,loom-network,141815132.85673094,161296545.59203604,2018-03-14T00:00:00.000Z
174,175,12220,Osmosis,OSMO,osmosis,136255934.84296006,5105982.89314158,2021-09-30T16:58:27.000Z
175,176,23246,tomiNet,TOMI,tominet,134938219.76316398,31705645.75280338,2023-01-16T11:16:01.000Z
176,177,6748,Centrifuge,CFG,centrifuge,132723249.32688652,721141.67301846,2020-08-28T00:00:00.000Z
177,178,1698,Horizen,ZEN,horizen,132468627.54151313,8449973.15472591,2017-06-01T00:00:00.000Z
178,179,9444,Kyber Network Crystal v2,KNC,kyber-network-crystal-v2,128084864.54093416,31012998.5365935,2021-04-26T00:00:00.000Z
179,180,4948,Nervos Network,CKB,nervos-network,127513053.92932832,1870280.46804935,2019-11-19T00:00:00.000Z
180,181,1343,Stratis,STRAX,stratis,127214760.9463826,52605154.76975235,2016-08-12T00:00:00.000Z
181,182,3835,Orbs,ORBS,orbs,124338383.30093646,38443891.74641224,2019-04-03T00:00:00.000Z
182,183,2132,Powerledger,POWR,power-ledger,123443344.18421443,230897521.70376092,2017-11-01T00:00:00.000Z
183,184,3801,BORA,BORA,bora,123129231.84038994,2429770.54929787,2019-03-18T00:00:00.000Z
184,185,5647,Kadena,KDA,kadena,123101614.98713575,2581720.9481987,2020-05-31T00:00:00.000Z
185,186,5691,SKALE,SKL,skale-network,121411599.50069861,23195579.27945537,2020-06-12T00:00:00.000Z
186,187,4006,STP,STPT,standard-tokenization-protocol,120074239.51200305,24580482.01393623,2019-06-12T00:00:00.000Z
187,188,109,DigiByte,DGB,digibyte,119013351.33423227,2472879.7443475,2014-02-06T00:00:00.000Z
188,189,3701,Rootstock Infrastructure Framework,RIF,rsk-infrastructure-framework,118757931.02479105,9028841.73764236,2019-01-16T00:00:00.000Z
189,190,1214,Lisk,LSK,lisk,118401017.52452898,2724410.83920165,2016-04-06T00:00:00.000Z
190,191,11877,Galxe,GAL,galxe,117065522.01825397,10476958.18464383,2021-09-14T09:51:51.000Z
191,192,6958,Alchemy Pay,ACH,alchemy-pay,114434316.54360273,13308537.16805923,2020-09-09T00:00:00.000Z
192,193,3029,Flux,FLUX,zel,113889113.2766707,5528348.87975656,2018-08-02T00:00:00.000Z
193,194,5444,Cartesi,CTSI,cartesi,113669047.09923762,4185641.57563943,2020-04-23T00:00:00.000Z
194,195,5617,UMA,UMA,uma,111520063.7487908,6983110.04696947,2020-05-25T00:00:00.000Z
195,196,1759,Status,SNT,status,109538106.84708436,7842627.07108637,2017-06-28T00:00:00.000Z
196,197,9040,Pundi X (New),PUNDIX,pundix-new,108458992.89613351,26661637.04915601,2021-03-31T00:00:00.000Z
197,198,7129,TerraClassicUSD,USTC,terrausd,108346341.14841454,5921077.95797384,2020-09-21T00:00:00.000Z
198,199,7737,API3,API3,api3,107562098.89241277,5940297.73104324,2020-11-21T00:00:00.000Z
199,200,9436,Dogelon Mars,ELON,dogelon,106027753.67931573,6994811.32490367,2021-04-23T00:00:00.000Z
200,201,8085,Lido Staked ETH,stETH,steth,15707959728.893353,9250334.04823254,2020-12-23T00:00:00.000Z
201,202,18579,Wrapped TRON,WTRX,wrapped-tron,8343653054.479199,2300923.02027694,2017-09-13T00:00:00.000Z
202,203,24165,Wrapped Kava,WKAVA,wrapped-kava,4706052890.134945,0.0,2019-10-25T00:00:00.000Z
203,204,4023,Bitcoin BEP2,BTCB,bitcoin-bep2,1843001221.2719269,19694238.31285017,2019-06-18T00:00:00.000Z
204,205,2454,UnlimitedIP,UIP,unlimitedip,1739748946.7747228,72493.08350115,2018-01-24T00:00:00.000Z
205,206,24399,Wrapped HBAR,WHBAR,wrapped-hedera,1728707786.2354906,140659.01428615,2019-09-17T00:00:00.000Z
206,207,24913,Wrapped EOS,WEOS,wrapped-eos,1692713705.6525228,2599.87029567,2017-07-01T00:00:00.000Z
207,208,5015,HEX,HEX,hex,1505231050.6740756,2367619.26617022,2019-12-17T00:00:00.000Z
208,209,24760,Wrapped Beacon ETH,WBETH,wrapped-beacon-eth,1399826210.0838745,1829508.66265914,2023-04-27T09:20:48.000Z
209,210,5455,Trexcoin,TREX,trexcoin,1059215988.8808858,53198.05366821,2020-04-27T00:00:00.000Z
210,211,20396,Kaspa,KAS,kaspa,1058151189.5238522,9792173.85772645,2022-06-01T00:03:58.000Z
211,212,6952,Frax,FRAX,frax,672519231.9597194,6614667.86430701,2020-09-08T00:00:00.000Z
212,213,5168,Bitcoin Classic,BXC,bitcoin-classic,604901003.5999253,60303.2485752,2020-02-11T00:00:00.000Z
213,214,15271,Rollbit Coin,RLB,rollbit-coin,601045247.7512205,4813031.006953,2021-11-29T06:53:35.000Z
214,215,5524,TNC Coin,TNC,tnc-coin,600563667.1780342,24571.03308439,2020-05-03T00:00:00.000Z
215,216,7192,Wrapped BNB,WBNB,wbnb,581186300.4355497,127367149.73446293,2020-09-28T00:00:00.000Z
216,217,26081,First Digital USD,FDUSD,first-digital-usd,468632159.943431,1680259183.1515026,2023-07-26T04:26:40.000Z
217,218,11948,Radix,XRD,radix-protocol,440819273.35211027,2585767.11775723,2021-09-17T15:12:05.000Z
218,219,4195,FTX Token,FTT,ftx-token,428881665.3495756,26416461.77719799,2019-07-31T00:00:00.000Z
